Kategori,Pesan
ham,"Pergi sampai jurong point, gila.. Hanya tersedia di bugis n great world la e buffet... Cine ada punya lebih banyak wat ..."
ham,Oke lar ... Bercanda wif di mereka...
Spam,Gratis masuk di 2 a wkly comp untuk memenangkan final Piala FA tkts 21 Mei 2005. SMS FA ke 87121 untuk menerima pertanyaan entri (std txt rate) T & C berlaku 08452810075over18
ham,U dun bilang begitu awal hor... U c sudah kemudian mengatakan ...
ham,"tidak, saya tidak berpikir dia pergi ke usf, dia tinggal di sekitar sini"
Spam,"FreeMsg Hei sayang, sudah 3 minggu sekarang dan tidak ada kabar kembali! Saya masih ingin bersenang-senang untuk itu? Tb ok! XxX std chgs untuk mengirim, Â £ 1,50 ke rcv"
ham,Bahkan saudara laki-laki saya tidak suka berbicara dengan saya. Mereka memperlakukan saya seperti alat bantu paten.
ham,"Sesuai permintaan Anda, 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' telah ditetapkan sebagai callertune Anda untuk semua Penelepon. Tekan *9 untuk menyalin teman Anda Callertune"
Spam,"PEMENANG!! Sebagai pelanggan jaringan yang berharga, Anda telah dipilih untuk menerima hadiah hadiah Â £ 900! Untuk mengklaim 09061701461 panggilan. Kode klaim KL341. Hanya berlaku 12 jam."
Spam,Apakah ponsel Anda 11 bulan atau lebih? U R berhak untuk Update ke ponsel warna terbaru dengan kamera secara Gratis! Hubungi Mobile Update Co GRATIS di 08002986030
ham,"Aku akan segera pulang dan aku tidak ingin membicarakan hal ini lagi malam ini, k? Aku sudah cukup menangis hari ini."
Spam,"ENAM kesempatan untuk memenangkan CASH! Dari 100 hingga 20.000 pound txt> CSH11 dan kirim ke 87575. Biaya 150p / hari, 6days, 16+ TsandCs berlaku membalas Info HL 4"
Spam,MENDESAK! Anda telah memenangkan keanggotaan GRATIS 1 minggu di Â £ 100.000 Hadiah Jackpot kami! Txt kata: KLAIM ke No: 81010 T & C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18
ham,Saya telah mencari kata-kata yang tepat untuk berterima kasih atas nafas ini. Saya berjanji saya tidak akan menerima bantuan Anda begitu saja dan akan memenuhi janji saya. Anda telah menjadi luar biasa dan berkat setiap saat.
ham,SAYA PUNYA KENCAN PADA HARI MINGGU DENGAN WILL!!
Spam,"XXXMobileMovieClub: Untuk menggunakan kredit Anda, klik tautan WAP di pesan txt berikutnya atau klik di sini>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
ham,Astaga... Saya menonton di sini :)
ham,Eh u ingat bagaimana 2 mengeja namanya ... Ya saya lakukan. Dia v nakal membuat sampai i v basah.
ham,Baik jika itu yang Anda rasakan. Begitulah cara yang gota b
Spam,"Inggris v Macedonia - jangan lewatkan berita gol / tim. Txt tim nasional Anda ke 87077 misalnya INGGRIS ke 87077 Coba:WALES, SKOTLANDIA 4txt/Ãº1.20 POBOXox36504W45WQ 16+"
